Iteration	AverageReturn	StdReturn
0	4019.0642363899765	134.02975155574873
1	3987.0653135767143	96.28804372433231
2	3951.204934880085	128.33106621510615
3	4025.5192158331656	107.30402287333108
4	4029.3707320744434	134.0158776290638
5	3961.137054383901	114.79649250879308
6	3974.631645637443	111.85398449271557
7	3984.8782714532476	145.89536531558085
8	3996.87946041998	88.68225431890785
9	3995.8681182436762	124.14569667855687
10	4009.480783404285	104.38084594472109
11	4012.054881284376	105.07774792502521
12	4026.396648996832	83.27779913499064
13	4005.568926749351	104.35823275391226
14	4009.5077441352732	84.94438255892493
15	3986.8256033659222	150.4033802697696
16	3964.1665624711613	109.22229593890738
17	3973.6517877251026	106.86778262498957
18	4021.0314847470263	85.05374352936849
19	3991.973256486815	90.22695088295909
