Iteration	AverageReturn	StdReturn
0	-8.05980769712638	2.2608721871807878
1	-8.372695341178236	2.9291807223990207
2	-8.109900053209254	2.9535390081753525
3	-8.963460579986426	2.132087636368942
4	-8.538720837389558	2.8138599943039844
5	-8.76206448269065	2.9431996776699076
6	-8.937906398582616	2.934438568887104
7	-8.631416423780252	2.5479132415128563
8	-9.041872605345135	3.254687541184349
9	-8.714552552983976	2.7197111919084107
10	-9.175572915935255	3.789428185511529
11	-8.182276636537523	2.037282919589061
12	-8.340061129435286	2.241991493697246
13	-7.3297271541418425	2.388292677350497
14	-8.542720038100903	3.044226116709935
15	-8.962811680648597	2.9684282499054566
16	-9.267920492204642	2.410288710806878
17	-8.439361531070528	2.5268641505368725
18	-8.328391371230932	2.130736003374606
19	-8.348470990272174	2.6499239164296076
