Iteration	AverageReturn	StdReturn
0	-7.6112865835205366	1.9466573093274233
1	-8.211530601937591	3.4189292059305525
2	-8.518121008638252	2.940789313433524
3	-7.123281013084956	2.539688688720008
4	-8.181551851828544	2.1582795719026575
5	-8.344460545506218	2.7607025653846478
6	-6.912996885282054	1.8826391993657265
7	-8.10077831380446	3.088123950096788
8	-7.1065989763844355	1.9724554829855685
9	-6.817368118625703	1.9154710322745754
10	-7.5793197520620454	2.6883972001701553
11	-6.748804431358113	2.357023472461611
12	-7.999297545328948	3.275844742996774
13	-8.245731064942326	2.1286418057392162
14	-8.52264716194722	2.6652057833384113
15	-7.47967620619489	2.386034061136319
16	-8.15579996265272	2.0679317133701263
17	-6.302724124815132	1.5470886739622889
18	-7.977886489019982	2.457346498618569
19	-8.681222230434484	2.595885987860091
