Iteration	AverageReturn	StdReturn
0	4116.2750723328845	87.98689779017441
1	4133.2008031061105	80.24627777957882
2	4120.060729166866	86.87564062635036
3	4124.808427569473	72.54052866931774
4	4109.0069300067	88.9632806592382
5	4138.086885507178	85.06135265297124
6	4147.0741922122725	58.198349166532935
7	4178.0647688039435	62.252330760600316
8	4184.000427804325	67.26760150754704
9	4107.6755692810075	59.599118479422756
10	4126.2021318508605	75.37760673908106
11	4158.059106328068	55.66191554776157
12	4170.442430732545	78.99041041345153
13	4141.739844589451	82.49695048232599
14	4137.79845746174	81.04510402312079
15	4136.467535857894	66.87409596208515
16	4120.263951831115	93.11009615902769
17	4161.1701582643855	80.86417035139661
18	4146.323305855396	83.43863252133244
19	4139.723163716166	79.76681961141028
